trip_verification,reviews,num_words,review_sentence,Scores,Compound,sentiment
False,"['I', 'travel', 'British', 'Airways', 'Sweden', 'Los', 'Angeles', 'London', 'December', '2022.', 'When', 'I', 'arrive', 'LAX', 'bag', 'missing.', 'There', 'information', 'whereabouts', 'bag', 'search', '30', 'minutes,', 'I', 'find', 'point', 'contact', 'tell', 'bag', 'leave', 'behind.', 'I', 'give', 'detail', 'I', 'stay', 'tell', 'contact', 'me.', 'After', 'day', 'contact', 'I', 'try', 'British', 'Airways', 'customer', 'service.', 'The', 'woman', 'airport', 'didn’t', 'file', 'reference', 'number,', 'difficult', 'try', 'locate', 'bag,', 'finally', 'find', 'reference', 'number', 'bag', 'say', 'deliver', 'couple', 'days.', 'I', 'tell', 'I', 'switch', 'hotel', 'give', 'address', 'I', 'stay', 'fine.', 'But', 'couple', 'week', 'go', 'bag', 'see', 'time', 'fly', 'home.', 'At', 'airport', 'I', 'try', 'talk', 'personnel', 'try', 'locate', 'bag', 'say', 'deliver', 'hotel', 'I', 'stay', 'at,', 'I', 'give', 'update', 'address.', 'I', 'ask', 'I', 'I', 'fly', 'home', 'now.', 'The', 'guy', 'counter', 'tell', 'wasn’t', 'problem', 'I', 'figure', 'myself.', 'I', 'question', 'response', 'walk', 'away.', 'A', 'manager', 'saw', 'come', 'apologize', 'colleague', 'send', 'fetch', 'bag', 'send', 'flight', 'one.', 'I', 'come', 'home', 'couple', 'day', 'later', 'I', 'receive', 'bag.', 'I', 'complaint', 'claim', 'British', 'Airways', 'website', 'I', 'buy', 'clothe', 'toiletry', 'vacation', 'I', 'didn’t', 'bag.', 'In', 'January', 'say', 'refund', 'claims,', 'April', '(almost', 'May)', 'I', 'receive', 'refund', 'multiple', 'email', 'conversations.', 'I', 'don’t', 'know', 'anymore', 'situation', 'appear', 'will', 'help', 'me.', 'I', 'appal', 'situation', 'handle', 'frankly', 'disappoint', 'British', 'Airways', 'lack', 'customer', 'service.']",196,"I travel British Airways Sweden Los Angeles London December 2022. When I arrive LAX bag missing. There information whereabouts bag search 30 minutes, I find point contact tell bag leave behind. I give detail I stay tell contact me. After day contact I try British Airways customer service. The woman airport didn’t file reference number, difficult try locate bag, finally find reference number bag say deliver couple days. I tell I switch hotel give address I stay fine. But couple week go bag see time fly home. At airport I try talk personnel try locate bag say deliver hotel I stay at, I give update address. I ask I I fly home now. The guy counter tell wasn’t problem I figure myself. I question response walk away. A manager saw come apologize colleague send fetch bag send flight one. I come home couple day later I receive bag. I complaint claim British Airways website I buy clothe toiletry vacation I didn’t bag. In January say refund claims, April (almost May) I receive refund multiple email conversations. I don’t know anymore situation appear will help me. I appal situation handle frankly disappoint British Airways lack customer service.","{'neg': 0.094, 'neu': 0.858, 'pos': 0.048, 'compound': -0.8573}",-0.8573,Negative
False,"['Food', 'lousy.', 'Who', 'plan', 'Asian', 'Hindu', 'Vegetarian', 'meal', 'clueless', 'meal', 'includes.', 'The', 'snack', 'lousy.', 'It', 'take', '2', 'hour', 'T5', 'T3', 'clear', 'security', 'check.', 'The', 'place', 'chaotic.', 'We', 'board', 'gate', 'long', 'line', '40', 'minute', 'wait', 'check', 'passport', 'board', 'pass.', 'Seats', 'Premium', 'economy', 'ok,', 'passenger', 'reclines,', 'little', 'space', 'window', 'seat', 'passenger', 'cross', 'over.', 'Overall', 'good', 'airline.']",54,"Food lousy. Who plan Asian Hindu Vegetarian meal clueless meal includes. The snack lousy. It take 2 hour T5 T3 clear security check. The place chaotic. We board gate long line 40 minute wait check passport board pass. Seats Premium economy ok, passenger reclines, little space window seat passenger cross over. Overall good airline.","{'neg': 0.187, 'neu': 0.664, 'pos': 0.149, 'compound': -0.5574}",-0.5574,Negative
True,"['Had', 'worst', 'experience.', 'The', 'flight', 'London', 'Toronto', 'get', 'delay', 'miss', 'connect', 'flight', 'Halifax.', 'We', 'include', 'infant', 'toddler', 'age', '4', 'years,', 'despite', 'delay', 'miss', 'connect', 'flight', 'grind', 'staff', 'helpful.', 'We', 'wait', 'hour', 'talk', '12', 'tell', 'book', 'hotel', 'stay', 'night', 'ask', 'search', 'hotel', 'own,', 'nice', 'British', 'Airways.', 'At', 'guy', 'give', 'consideration', 'traveler', 'travel', 'child', 'book', 'accommodation.', 'We', 'NOT', 'travel', 'airline', 'again.']",59,"Had worst experience. The flight London Toronto get delay miss connect flight Halifax. We include infant toddler age 4 years, despite delay miss connect flight grind staff helpful. We wait hour talk 12 tell book hotel stay night ask search hotel own, nice British Airways. At guy give consideration traveler travel child book accommodation. We NOT travel airline again.","{'neg': 0.174, 'neu': 0.745, 'pos': 0.082, 'compound': -0.6486}",-0.6486,Negative
True,"['The', 'grind', 'staff', 'helpful.', 'Felt', 'like', 'want', 'rush', 'check', 'passenger', 'need', 'wait', 'hold', 'area', 'bus', 'anyway.', 'Travelling', 'child', 'disability', 'nightmare', 'British', 'Airways.', 'Logged', 'complaint', 'take', 'week', 'answer.', 'Lost', 'luggage.', 'It', 'good', 'experience.']",32,The grind staff helpful. Felt like want rush check passenger need wait hold area bus anyway. Travelling child disability nightmare British Airways. Logged complaint take week answer. Lost luggage. It good experience.,"{'neg': 0.113, 'neu': 0.65, 'pos': 0.237, 'compound': 0.6124}",0.6124,Positive
True,"['Second', 'time', 'BA', 'Premium', 'Economy', 'newer', 'aircraft', 'excellent', 'experience.', 'Despite', 'hour', 'delay', 'miss', 'connection', 'Hong', 'Kong,', 'pleasant', 'flight.', 'Seats', 'spacious', 'comfortable', 'Premium', 'Economy', 'layout,', 'attitude', 'cabin', 'crew', 'excellent', 'food', 'good.', 'They', 'communicate', 'rebooked', 'connection', 'flight', 'bring', 'peace', 'mind.', 'A', 'pleasant', 'experience', 'BA', 'Premium', 'Economy', 'major', 'disappointment', 'Club', 'World', 'earlier', 'year.']",50,"Second time BA Premium Economy newer aircraft excellent experience. Despite hour delay miss connection Hong Kong, pleasant flight. Seats spacious comfortable Premium Economy layout, attitude cabin crew excellent food good. They communicate rebooked connection flight bring peace mind. A pleasant experience BA Premium Economy major disappointment Club World earlier year.","{'neg': 0.048, 'neu': 0.562, 'pos': 0.391, 'compound': 0.9713}",0.9713,Positive
False,"['They', 'change', 'Flights', 'Brussels', 'London', 'Heathrow', 'LAX', '4/16/2023.', 'We', 'pay', 'extra', 'choose', 'seats.', 'Since', 'cancel', 'honor', 'seat', 'bought,', 'seat', 'totally', 'different', 'seats.', 'I', 'ask', 'check', 'employee,', 'rude', 'tell', 'understand', 'different', 'flight.', 'From', 'London', 'LAX', 'worse,', 'airport', 'help', 'us.', 'Employees', 'BA', 'tell', 'return', 'day', 'flight', 'rent', 'hotel', 'terminal', '3', 'sleep', 'there.', 'Finally', 'employee', 'help', 'give', 'voucher', 'hotel.', 'It', 'nightmare', 'airline.', 'We', 'miss', 'day', 'work', 'BA', 'didn’t', 'return', 'money', 'pay', 'previous', 'choose', 'seats.']",71,"They change Flights Brussels London Heathrow LAX 4/16/2023. We pay extra choose seats. Since cancel honor seat bought, seat totally different seats. I ask check employee, rude tell understand different flight. From London LAX worse, airport help us. Employees BA tell return day flight rent hotel terminal 3 sleep there. Finally employee help give voucher hotel. It nightmare airline. We miss day work BA didn’t return money pay previous choose seats.","{'neg': 0.154, 'neu': 0.74, 'pos': 0.106, 'compound': -0.2263}",-0.2263,Negative
False,"['At', 'Copenhagen', 'chaotic', 'ticket', 'counter', 'assignment', 'history', 'airlines.', 'Time', 'board', 'changed,', 'fix', 'counter', 'Airport.', 'Abysmal', 'service', 'need', 'vast', 'improvement']",19,"At Copenhagen chaotic ticket counter assignment history airlines. Time board changed, fix counter Airport. Abysmal service need vast improvement","{'neg': 0.138, 'neu': 0.733, 'pos': 0.129, 'compound': -0.0516}",-0.0516,Negative
True,"['Worst', 'experience', 'life', 'try', 'deal', 'customer', 'service', 'British', 'Airways.', 'So', 'issue', 'get', 'destination', 'other.', 'Had', 'absolutely', 'horrible', 'time', 'try', 'answer', 'reach', 'capable', 'help', 'navigate', 'uncertainties.', 'I', 'write', 'formal', 'complaint', 'request', 'type', 'refund', 'receive', 'generic', '“we', 'sorry”', 'email', '5000', 'avios', 'attach', 'equivalent', 'maybe', '$50', '$600+', 'flight.', 'Needless', 'waste', 'I', 'refuse', 'fly', 'untrustworthy', 'incompetent', 'unorganized', 'airline', 'couldn’t', 'address', 'single', 'issue', 'express', 'them.', 'It', 'equivalent', 'hand', 'band', 'aid', 'slap', 'face.', 'I', 'flight', 'smooth', 'onboard', 'staff', 'kind', 'attentive.', 'The', 'frustrate', 'thing', 'customer', 'service', 'train', 'runaround', 'heavily', 'point', 'exhaustion', 'try', 'loss.']",86,Worst experience life try deal customer service British Airways. So issue get destination other. Had absolutely horrible time try answer reach capable help navigate uncertainties. I write formal complaint request type refund receive generic “we sorry” email 5000 avios attach equivalent maybe $50 $600+ flight. Needless waste I refuse fly untrustworthy incompetent unorganized airline couldn’t address single issue express them. It equivalent hand band aid slap face. I flight smooth onboard staff kind attentive. The frustrate thing customer service train runaround heavily point exhaustion try loss.,"{'neg': 0.258, 'neu': 0.609, 'pos': 0.133, 'compound': -0.9299}",-0.9299,Negative
True,"['Due', 'code', 'share', 'Cathay', 'Pacific', 'I', 'downgrade', 'BA', 'return', 'leg.', 'I', 'can’t', 'describe', 'cheat', 'I', 'felt.', 'I', 'book', 'pay', 'airline', 'great', 'entertainment,', 'food', 'service,', 'instead,', 'I', 'force', 'hungry', 'choice', 'meal', 'inedible.', 'To', 'ensure', 'passenger', 'didn’t', 'funny', 'idea', 'assume', 'vegetarian', 'option', 'unavailable', 'give', 'cracker', 'small', 'packet', 'nuts.', 'The', 'cabin', 'crew', 'announce', 'uniquely', 'aggressive', 'dismissive', 'way', '“You', 'won’t', '12', 'hour', 'know!”', 'entertainment', 'compile', 'mainly', 'B', 'movie', 'I', 'pay', '£11', 'Wi-Fi', 'I', 'watch', 'Netflix', 'laptop.', 'Unsurprisingly,', 'signal', 'weak', 'I', 'couldn’t', 'send', 'email.', 'To', 'add', 'insult', 'injury,', 'earbuds', 'provide', 'cheapest', 'lowest', 'quality', 'I', 'seen.', 'Since', 'time', 'I', 'airline', 'crew', 'rude', 'obnoxious', 'impatient', 'unhelpful.', 'What', 'I', 'don’t', 'understand', 'British', 'Airways', 'look', 'characteristic', 'desirable', 'attribute', 'crew.']",110,"Due code share Cathay Pacific I downgrade BA return leg. I can’t describe cheat I felt. I book pay airline great entertainment, food service, instead, I force hungry choice meal inedible. To ensure passenger didn’t funny idea assume vegetarian option unavailable give cracker small packet nuts. The cabin crew announce uniquely aggressive dismissive way “You won’t 12 hour know!” entertainment compile mainly B movie I pay £11 Wi-Fi I watch Netflix laptop. Unsurprisingly, signal weak I couldn’t send email. To add insult injury, earbuds provide cheapest lowest quality I seen. Since time I airline crew rude obnoxious impatient unhelpful. What I don’t understand British Airways look characteristic desirable attribute crew.","{'neg': 0.232, 'neu': 0.615, 'pos': 0.153, 'compound': -0.7959}",-0.7959,Negative
True,"['LHR', 'check', 'quick', 'First', 'Wing', 'quickly', 'security.', 'The', 'First', 'lounge', 'quiet', 'change', 'reasonably', 'good', 'breakfast', 'buffet', 'available.', 'While', 'BA', 'bring', 'Highlife', 'magazine', 'lounge,', 'Covid', 'scrap', 'magazine', 'offer,', 'endless', 'BA', 'cost', 'cutting.', 'The', 'toilet', 'lounge', 'disgust', 'ever,', 'clean', 'frequently', 'visit', '20', 'year', 'date', '(the', 'public', 'washroom', 'T5', 'well', 'cleaner).', 'Boarding', 'usual', 'BA', 'muddle', 'mess,', 'gate', 'staff', 'appear', 'clue', 'doing.', 'Endless', 'announcement', 'gate', 'flight,', 'request', 'passenger', 'check', 'bags,', 'flight', '40%', 'full.', 'Onboard', 'good', 'welcome', 'Captain', 'flight', 'leave', 'gate', '5', 'min', 'late.', 'Breakfast', '3', 'choice', 'fair', 'standard.', 'No', 'hot', 'towel', 'packet', 'towel', 'offer', 'Club', 'Europe', 'more,', 'relentless', 'BA', 'cost', 'cutting.', 'I', ""wouldn't"", 'mind', 'fare', 'proportionately', 'lot', 'higher', 'pre', 'Covid.', 'Cabin', 'staff', 'service', 'perfunctory', 'best,', 'scrap', 'recognition', 'BA', 'Gold', 'Oneworld', 'Emerald', 'members,', 'clear', 'proof', 'BA', ""don't"", 'care', 'more.', 'Breakfast', 'tray', 'clear', '45', 'min', 'flight,', 'sign', 'staff', 'stay', 'galley', 'rest', 'flight.', 'Paid', '£4.99', '1', 'hour', 'wifi,', 'drop', 'connection', '40', 'mins.', 'Sad', 'note', 'staff', 'service', 'Ryanair', 'pro', 'active', 'nowadays.', 'Priority', 'tag', 'suitcase', 'come', 'nearly', 'Malaga,', 'standard', 'BA', 'business', 'class', 'baggage', 'handling.', 'Do', 'waste', 'money', 'Club', 'Europe,', 'standard', 'dropping.']",172,"LHR check quick First Wing quickly security. The First lounge quiet change reasonably good breakfast buffet available. While BA bring Highlife magazine lounge, Covid scrap magazine offer, endless BA cost cutting. The toilet lounge disgust ever, clean frequently visit 20 year date (the public washroom T5 well cleaner). Boarding usual BA muddle mess, gate staff appear clue doing. Endless announcement gate flight, request passenger check bags, flight 40% full. Onboard good welcome Captain flight leave gate 5 min late. Breakfast 3 choice fair standard. No hot towel packet towel offer Club Europe more, relentless BA cost cutting. I wouldn't mind fare proportionately lot higher pre Covid. Cabin staff service perfunctory best, scrap recognition BA Gold Oneworld Emerald members, clear proof BA don't care more. Breakfast tray clear 45 min flight, sign staff stay galley rest flight. Paid £4.99 1 hour wifi, drop connection 40 mins. Sad note staff service Ryanair pro active nowadays. Priority tag suitcase come nearly Malaga, standard BA business class baggage handling. Do waste money Club Europe, standard dropping.","{'neg': 0.116, 'neu': 0.725, 'pos': 0.158, 'compound': 0.8578}",0.8578,Positive
